Nursery	Beginner Classes are in Here	2014-05-09 00:00:00 -0400
Community Room	Master Class is in here.	2014-05-09 00:00:00 -0400
Youth Room	Lots of colors. Foosball table in here.	2014-05-09 00:00:00 -0400
Partitioned Room 1	In basement. One of the Partitioned Rooms.	2014-05-09 00:00:00 -0400
Nursery	Beginner Bootcamp Room	2013-05-18 04:00:00 -0400
Youth Room	(Mostly) Sight-reading Room	2013-05-18 04:00:00 -0400
Community Room	Fundamentals Room	2013-05-18 04:00:00 -0400
Partitioned Room 1	Lecture Room	2013-05-18 04:00:00 -0400
Community Room		2012-05-12 04:00:00 -0400
Partitioned Room 1		2012-05-12 04:00:00 -0400
Partitioned Room 2		2012-05-12 04:00:00 -0400
Partitioned Room 3		2012-05-12 04:00:00 -0400
Community Room	Master Class is in Here.	2015-04-25 00:00:00 -0400
Sanctuary		2015-04-25 00:00:00 -0400
Partitioned Room		2015-04-25 00:00:00 -0400
Youth Room		2015-04-25 00:00:00 -0400
Nursery		2015-04-25 00:00:00 -0400
Anderson Room	Sunday Activities Only	2015-04-25 00:00:00 -0400
